Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6, C7, C8",0805,5,100n,
C2,0805,1,10n,
"C4, C5",0805,2,10u,
C9,0805,1,330p,
"D1, D2",D_DO-15_P5.08mm_Vertical_AnodeUp,2,BB112,
D3,LED_D4.0mm,1,LED,
J1,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,AudioJack3,
J2,PinHeader_1x02_P2.54mm_Vertical,1,+9V,
L1,L_Axial_L5.0mm_D3.6mm_P10.00mm_Horizontal_Murata_BL01RN1A2A2,1,82mH,
Q1,TO-92_Inline,1,BF987,
R1,0805,1,1M,
R2,0805,1,4M7,
R3,0805,1,330,
R4,0805,1,4k7,
R5,0805,1,1k,
R6,0805,1,3k3,
RV1,Potentiometer_Alps_RK097_Single_Horizontal_Switch,1,22k,
